Gene1,Gene2,value
ENSG00000008441,ENSG00000007237,0.753995251
ENSG00000034510,ENSG00000007237,-0.395174114
ENSG00000063180,ENSG00000007237,0.698764487
ENSG00000067225,ENSG00000007237,0.147687215
ENSG00000072778,ENSG00000007237,-0.087994699
ENSG00000074181,ENSG00000007237,-0.351999358
ENSG00000079435,ENSG00000007237,0.435955186
ENSG00000082641,ENSG00000007237,-0.307062834
ENSG00000084234,ENSG00000007237,0.13808169
ENSG00000085063,ENSG00000007237,0.170107882
ENSG00000089597,ENSG00000007237,-0.420658888
ENSG00000099365,ENSG00000007237,0.773443332
ENSG00000100234,ENSG00000007237,0.195874617
ENSG00000101210,ENSG00000007237,0.305600534
ENSG00000101335,ENSG00000007237,0.36165909
ENSG00000103034,ENSG00000007237,0.723262074
ENSG00000103257,ENSG00000007237,-0.547303524
ENSG00000103495,ENSG00000007237,-0.065264959
ENSG00000104852,ENSG00000007237,0.219839983
ENSG00000104879,ENSG00000007237,-0.042695486
ENSG00000104964,ENSG00000007237,0.62092626
ENSG00000105270,ENSG00000007237,0.772448276
ENSG00000105701,ENSG00000007237,0.323837129
ENSG00000106211,ENSG00000007237,-0.575980143
ENSG00000108518,ENSG00000007237,-0.414397556
ENSG00000109846,ENSG00000007237,0.587802837
ENSG00000110955,ENSG00000007237,-0.003888061
ENSG00000111245,ENSG00000007237,-0.019019817
ENSG00000111674,ENSG00000007237,0.77925592
ENSG00000111676,ENSG00000007237,0.596876229
ENSG00000122304,ENSG00000007237,0.045863204
ENSG00000129250,ENSG00000007237,-0.173456826
ENSG00000129538,ENSG00000007237,0.602344967
ENSG00000130175,ENSG00000007237,-0.309655799
ENSG00000130176,ENSG00000007237,0.361962401
ENSG00000130522,ENSG00000007237,0.176483238
ENSG00000130726,ENSG00000007237,-0.226973683
ENSG00000133392,ENSG00000007237,0.328768197
ENSG00000135472,ENSG00000007237,0.804911089
ENSG00000135506,ENSG00000007237,-0.167328129
ENSG00000135744,ENSG00000007237,0.573549676
ENSG00000138834,ENSG00000007237,0.573357014
ENSG00000139899,ENSG00000007237,0.672437925
ENSG00000141753,ENSG00000007237,-0.329388121
ENSG00000143632,ENSG00000007237,0.133105925
ENSG00000149925,ENSG00000007237,-0.18795886
ENSG00000159335,ENSG00000007237,0.420691296
ENSG00000161016,ENSG00000007237,-0.482598997
ENSG00000163453,ENSG00000007237,0.367687385
ENSG00000166165,ENSG00000007237,0.622924938
ENSG00000166963,ENSG00000007237,0.914235214
ENSG00000167468,ENSG00000007237,-0.097375211
ENSG00000167658,ENSG00000007237,-0.276955739
ENSG00000167676,ENSG00000007237,-0.086523643
ENSG00000169564,ENSG00000007237,-0.143921771
ENSG00000169710,ENSG00000007237,-0.24104516
ENSG00000171223,ENSG00000007237,-0.385136647
ENSG00000171560,ENSG00000007237,-0.246566716
ENSG00000172270,ENSG00000007237,0.026859646
ENSG00000172660,ENSG00000007237,-0.023528563
ENSG00000173432,ENSG00000007237,-0.380849824
ENSG00000174231,ENSG00000007237,0.000487288
ENSG00000174437,ENSG00000007237,-0.07132614
ENSG00000177469,ENSG00000007237,0.265090828
ENSG00000177666,ENSG00000007237,0.093086212
ENSG00000178209,ENSG00000007237,-0.369416008
ENSG00000178719,ENSG00000007237,-0.071395253
ENSG00000179218,ENSG00000007237,-0.352152934
ENSG00000179262,ENSG00000007237,-0.076157714
ENSG00000181222,ENSG00000007237,0.01057007
ENSG00000184009,ENSG00000007237,-0.47144074
ENSG00000184897,ENSG00000007237,-0.061040774
ENSG00000185650,ENSG00000007237,-0.40615266
ENSG00000185883,ENSG00000007237,0.424739292
ENSG00000186081,ENSG00000007237,-0.307062194
ENSG00000189060,ENSG00000007237,-0.068008621
ENSG00000196091,ENSG00000007237,0.188017364
ENSG00000196218,ENSG00000007237,0.437776748
ENSG00000196361,ENSG00000007237,0.747749844
ENSG00000196754,ENSG00000007237,-0.372221332
ENSG00000197102,ENSG00000007237,0.228748244
ENSG00000197249,ENSG00000007237,-0.576348424
ENSG00000197711,ENSG00000007237,-0.144416106
ENSG00000197766,ENSG00000007237,0.018398304
ENSG00000198695,ENSG00000007237,-0.11569701
ENSG00000198712,ENSG00000007237,0.323747047
ENSG00000198727,ENSG00000007237,0.295630189
ENSG00000198763,ENSG00000007237,0.584423532
ENSG00000198786,ENSG00000007237,0.093815395
ENSG00000198804,ENSG00000007237,0.071662565
ENSG00000198840,ENSG00000007237,0.419770849
ENSG00000198886,ENSG00000007237,0.391798485
ENSG00000198888,ENSG00000007237,0.463107931
ENSG00000198899,ENSG00000007237,0.397595267
ENSG00000198938,ENSG00000007237,0.475114165
ENSG00000212907,ENSG00000007237,0.41899743
ENSG00000214753,ENSG00000007237,0.22301822
ENSG00000228253,ENSG00000007237,0.41307258
ENSG00000229314,ENSG00000007237,-0.269559206
ENSG00000034510,ENSG00000008441,-0.09893292
ENSG00000063180,ENSG00000008441,0.578835306
ENSG00000067225,ENSG00000008441,0.138625271
ENSG00000072778,ENSG00000008441,0.225443548
ENSG00000074181,ENSG00000008441,0.027982799
ENSG00000079435,ENSG00000008441,0.692211723
ENSG00000082641,ENSG00000008441,0.221484626
ENSG00000084234,ENSG00000008441,0.246077268
ENSG00000085063,ENSG00000008441,0.549479111
ENSG00000089597,ENSG00000008441,-0.212567932
ENSG00000099365,ENSG00000008441,0.501808511
ENSG00000100234,ENSG00000008441,0.524562043
ENSG00000101210,ENSG00000008441,0.093957564
ENSG00000101335,ENSG00000008441,0.590443977
ENSG00000103034,ENSG00000008441,0.536919752
ENSG00000103257,ENSG00000008441,-0.41285926
ENSG00000103495,ENSG00000008441,0.101351095
ENSG00000104852,ENSG00000008441,0.280063393
ENSG00000104879,ENSG00000008441,0.26384878
ENSG00000104964,ENSG00000008441,0.795862761
ENSG00000105270,ENSG00000008441,0.663820523
ENSG00000105701,ENSG00000008441,0.621977124
